Model,Accuracy,Precision,Recall,F1_Score,AUC
Logistic Regression,0.9322553666016169,0.9352992957746479,0.9567762269248087,0.9459158691297574,0.9607684665804846
SVM,0.9790911625313633,0.9944700460829493,0.9716343989194057,0.9829196082896834,0.9946912969043662
Random Forest,0.9916364650125453,0.9959257582616569,0.9905447996398019,0.9932279909706546,0.9995751323550062
XGBoost,0.9921940340117089,0.9959294436906377,0.9914452949122017,0.9936823104693141,0.9988506489696712
Neural Network,0.9882910510175634,0.993656547349343,0.9873930661864025,0.9905149051490515,0.9984956587030628
